i,step,speed,pwm
639,13317951,0.20,-102.79,1580
640,13319951,0.20,-102.79,1580
641,13321950,0.20,-102.79,1580
642,13323951,0.20,-102.85,1580
643,13325951,0.20,-102.85,1580
644,13327951,0.20,-102.85,1580
645,13329950,0.20,-102.79,1580
646,13331951,0.20,-102.79,1580
647,13333951,0.20,-102.79,1580
648,13335950,0.20,-102.74,1580
649,13337951,0.20,-102.74,1580
650,13339951,0.20,-102.74,1580
651,13341950,0.20,-102.80,1580
652,13343951,0.20,-102.80,1580
653,13345951,0.20,-102.80,1580
654,13347950,0.20,-102.69,1580
655,13349951,0.20,-102.69,1580
656,13351951,0.20,-102.69,1580
657,13353950,0.20,-102.65,1580
658,13355951,0.20,-102.65,1580
659,13357951,0.20,-102.65,1580
660,13359950,0.20,-102.67,1580
661,13361951,0.20,-102.67,1580
662,13363950,0.20,-102.67,1580
663,13365951,0.20,-102.63,1580
664,13367951,0.20,-102.63,1580
665,13369951,0.20,-102.63,1580
666,13371950,0.20,-102.59,1580
667,13373951,0.20,-102.59,1580
668,13375950,0.20,-102.59,1580
669,13377951,0.20,-102.56,1580
670,13379951,0.20,-102.56,1580
671,13381950,0.20,-102.56,1580
672,13383951,0.20,-102.59,1580
673,13385951,0.20,-102.59,1580
674,13387951,0.20,-102.59,1580
675,13389950,0.20,-102.56,1580
676,13391951,0.20,-102.56,1580
677,13393951,0.20,-102.56,1580
678,13395950,0.20,-102.47,1580
679,13397951,0.20,-102.47,1580
680,13399951,0.20,-102.47,1580
681,13401950,0.20,-102.56,1580
682,13403951,0.20,-102.56,1580
683,13405950,0.20,-102.56,1580
684,13407951,0.20,-102.53,1580
685,13409951,0.20,-102.53,1580
686,13411950,0.20,-102.53,1580
687,13413951,0.20,-102.50,1580
688,13415951,0.20,-102.50,1580
689,13417951,0.20,-102.50,1580
690,13419950,0.20,-102.54,1580
691,13421951,0.20,-102.54,1580
692,13423951,0.20,-102.54,1580
693,13425950,0.20,-102.51,1580
694,13427951,0.20,-102.51,1580
695,13429951,0.20,-102.51,1580
696,13431950,0.20,-102.49,1580
697,13433951,0.20,-102.49,1580
698,13435950,0.20,-102.49,1580
699,13437951,0.20,-102.52,1580
700,13439951,0.20,-102.52,1580
701,13441950,0.20,-102.52,1580
702,13443951,0.20,-102.55,1580
703,13445951,0.20,-102.55,1580
704,13447951,0.20,-102.55,1580
705,13449950,0.20,-102.58,1580
706,13451951,0.20,-102.58,1580
707,13453951,0.20,-102.58,1580
708,13455950,0.20,-102.55,1580
709,13457951,0.20,-102.55,1580
710,13459951,0.20,-102.55,1580
711,13461950,0.20,-102.58,1580
712,13463951,0.20,-102.58,1580
713,13465950,0.20,-102.58,1580
714,13467951,0.20,-102.66,1580
715,13469951,0.20,-102.66,1580
716,13471950,0.20,-102.66,1580
717,13473951,0.20,-102.73,1580
718,13475951,0.20,-102.73,1580
719,13477951,0.20,-102.73,1580
720,13479950,0.20,-102.80,1580
721,13481951,0.20,-102.80,1580
722,13483950,0.20,-102.80,1580
723,13485951,0.20,-102.80,1580
724,13487951,0.20,-102.80,1580
725,13489951,0.20,-102.80,1580
726,13491950,0.20,-102.81,1580
727,13493951,0.20,-102.81,1580
728,13495951,0.20,-102.81,1580
729,13497950,0.20,-102.75,1580
730,13499951,0.20,-102.75,1580
731,13501951,0.20,-102.75,1580
732,13503950,0.20,-102.76,1580
733,13505951,0.20,-102.76,1580
734,13507951,0.20,-102.76,1580
735,13509950,0.20,-102.71,1580
736,13511951,0.20,-102.71,1580
737,13513951,0.20,-102.71,1580
738,13515950,0.20,-102.61,1580
739,13517951,0.20,-102.61,1580
740,13519951,0.20,-102.61,1580
741,13521950,0.20,-102.58,1580
742,13523951,0.20,-102.58,1580
743,13525950,0.20,-102.58,1580
744,13527951,0.20,-102.60,1580
745,13529951,0.20,-102.60,1580
746,13531951,0.20,-102.60,1580
747,13533950,0.20,-102.57,1580
748,13535951,0.20,-102.57,1580
749,13537950,0.20,-102.57,1580
750,13539951,0.20,-102.54,1580
751,13541951,0.20,-102.54,1580
752,13543951,0.20,-102.54,1580
753,13545950,0.20,-102.68,1580
754,13547951,0.20,-102.68,1580
755,13549950,0.20,-102.68,1580
756,13551951,0.20,-102.64,1580
757,13553951,0.20,-102.64,1580
758,13555950,0.20,-102.64,1580
759,13557951,0.20,-102.60,1580
760,13559951,0.20,-102.60,1580
761,13561950,0.20,-102.60,1580
762,13563951,0.20,-102.68,1580
763,13565951,0.20,-102.68,1580
764,13567951,0.20,-102.68,1580
765,13569950,0.20,-102.64,1580
766,13571951,0.20,-102.64,1580
767,13573951,0.20,-102.64,1580
768,13575950,0.20,-102.60,1580
769,13577951,0.20,-102.60,1580
770,13579951,0.20,-102.60,1580
771,13581950,0.20,-102.63,1580
772,13583951,0.20,-102.63,1580
773,13585951,0.20,-102.63,1580
