time,measured,predicted
0.474,526.4205197660326,381.0311526891618
0.475,526.5479377894293,381.44526914862325
0.476,526.0484440104863,381.8582738867144
0.477,526.2123096094376,382.2701698879205
0.478,526.3597886484938,382.6809601287145
0.479,526.4932797836444,383.090647577579
0.48,526.61266180528,383.4992351950273
0.481,526.1066956247521,383.9067259336254
0.482,526.8788960622769,384.3131227380127
0.483,526.3463064560492,384.71842854492337
0.484,526.4803858104443,385.1226462832082
0.485,525.9876472293998,385.52577887385485
0.486,526.1575925064599,385.92782923000976
0.487,525.6971332558139,386.32880025699853
0.488,525.8968899302325,386.7286948523474
0.489,526.0759109372093,387.12751590580405
0.49,526.2370298434884,387.5252662993584
0.491,525.7686268591394,387.92194890726347
0.492,526.5746341732255,388.3175665960562
0.493,526.0724707559029,388.7121222245781
0.494,526.2339336803127,389.10561864399597
0.495,526.3800103122815,389.4980586978225
0.496,525.8973092810533,389.88944522193685
0.497,526.0762883529479,390.27978104460476
0.498,526.2381295176531,390.6690689864998
0.499,525.7688565658877,391.0573118607229
0.5,525.961440909299,391.44451247282325
0.501,526.1332368183691,391.8306736208182
0.502,525.6759831365323,392.2157980952138
0.503,525.877854822879,392.5998886790247
0.504,526.6714193405912,392.9829481477945
0.505,526.1603474065321,393.3649792696155
0.506,526.3137826658789,393.7459848051492
0.507,526.450344399291,394.12596750764544
0.508,526.5747799593619,394.5049301229633
0.509,526.0718419634256,394.8828753895899
0.51,526.2341277670831,395.2598060386614
0.511,526.3801849903748,395.6357247939816
0.512,525.8967064913373,396.01063437204186
0.513,526.0765058422037,396.3845374820416
0.514,526.2383252579833,396.7574368259066
0.515,526.382432732185,397.1293350983097
0.516,526.5136594589665,397.50023498668924
0.517,526.6317635130698,397.8701391712692
0.518,526.7365271617629,398.2390503250784
0.519,526.8323444455866,398.6069711139696
0.52,526.917050001028,398.973904196639
0.521,526.3814150009251,399.33985222464526
0.522,527.1261435008325,399.7048178424289
0.523,526.5680691507494,400.0688036873312
0.524,526.6807322356744,400.4318123896133
0.525,526.782129012107,400.79384657247533
0.526,526.2584561108963,401.1549088520753
0.527,526.4020804998066,401.51500183754786
0.528,527.1447424498259,401.8741281310232
0.529,526.5848082048433,402.23229032764635
0.53,526.6957973843589,402.58949101559494
0.531,526.7941576459231,402.9457327760989
0.532,526.8842118813308,403.30101818345855
0.533,526.9652606931977,403.6553498050632
0.534,527.036674623878,404.00873020141023
0.535,526.4890771614902,404.36116192612275
0.536,526.6096394453411,404.7126475259687
0.537,526.7166155008069,405.0631895408793
0.538,526.8144239507262,405.41279050396673
0.539,526.9024515556537,405.76145294154315
0.54,526.9801464000883,406.10917937313866
0.541,527.0516017600795,406.4559723115196
0.542,527.1143815840716,406.80183426270617
0.543,527.1724134256644,407.14676772599165
0.544,527.224642083098,407.49077519395945
0.545,526.6567178747882,407.83385915250136
0.546,526.7605160873094,408.1760220808361
0.547,526.8539344785784,408.5172664515263
0.548,526.3230810307206,408.85759473049717
0.549,527.0736429276485,409.19700937705375
0.55,527.1357486348836,409.5355128438991
0.551,527.1901137713952,409.8731075771518
0.552,527.2405723942557,410.2097960163636
0.553,527.2859851548301,410.5455805945372
0.554,527.325326639347,410.8804637381437
0.555,527.3622639754124,411.21444786714017
0.556,527.393977577871,411.54753539498734
0.557,526.8106498200839,411.87972872866663
0.558,527.5124548380755,412.2110302686978
0.559,527.5291493542679,412.54144240915633
0.56,526.9323044188411,412.87096753769083
0.561,527.0085439769571,413.19960803553965
0.562,527.0756295792614,413.52736627754905
0.563,527.1375366213354,413.85424463218953
0.564,527.8066529592018,414.1802454615735
0.565,527.1805276632815,414.50537112147197
0.566,527.2319448969533,414.82962396133195
0.567,527.891620407258,415.15300632429296
0.568,527.8703983665321,415.47552054720427
0.569,527.2394285298789,415.7971689606419
0.57,527.284955676891,416.1179538889252
0.571,527.3244001092019,416.4378776501336
0.572,526.7480300982817,416.7569425561238
0.573,527.4545770884536,417.07515091254584
0.574,527.4785893796081,417.3925050188604
0.575,526.8868004416473,417.7090071683549
0.576,526.9660603974826,418.02465964816037
0.577,527.6523243577343,418.339464739268
0.578,527.0431619219609,418.6534247165452
0.579,527.1067857297647,418.96654184875274
0.58,527.1655771567882,419.27881839856053
0.581,526.6035594411094,419.5902566225643
0.582,526.7126734969985,419.9008587713017
0.583,526.8108761472987,420.2106270892687
0.584,526.8977285325689,420.519563814936
0.585,526.977425679312,420.8276711807647
0.586,527.0491531113807,421.1349514132227
0.587,526.4987778002426,421.4414067328012
0.588,526.6183700202183,421.7470393540299
0.589,526.7260030181965,422.0518514854937
0.59,526.8213427163768,422.35584532984836
0.591,526.908678444739,422.6590230838365
0.592,526.9872806002652,422.9613869383033
0.593,526.4430925402387,423.26293907821275
0.594,526.5682532862148,423.563681682663
0.595,526.6793679575933,423.8636169249023
0.596,526.1675011618339,424.1627469723445
0.597,526.3202210456504,424.4610739865854
0.598,526.4561389410853,424.75860012341724
0.599,526.5799950469768,425.05532753284535
0.6,526.689935542279,425.35125835910304
0.601,526.7904119880511,425.64639474066735
0.602,526.267440789246,425.94073881027435
0.603,526.4086367103215,426.2342926949348
0.604,526.5372430392894,426.52705851594936
0.605,526.0380587353604,426.81903838892373
0.606,526.2037228618244,427.1102344237843
0.607,526.352820575642,427.4006487247932
0.608,525.8720785180778,427.6902833905636
0.609,526.05434066627,427.97914051407463
